S1,S2,S3,D
163,163,117,3
145,131,88,1
145,131,88,1
96,104,102,4
149,128,108,2
33,23,23,7
90,93,108,4
141,115,102,2
149,127,108,2
168,134,98,6
110,148,87,5
142,127,108,2
33,31,24,7
97,105,110,4
168,150,129,2
168,143,129,2
149,128,108,2
75,137,80,5
71,74,54,8
146,132,88,1
147,104,73,6
40,39,29,7
68,137,80,5
79,93,103,4
92,154,112,0
164,157,117,3
163,162,116,3
85,153,111,0
141,115,102,2
194,202,139,3
40,39,29,7
73,71,53,7
67,71,53,7
194,195,138,3
149,128,108,2
163,157,117,3
96,104,109,4
74,136,80,5
33,32,24,7
168,144,128,2
111,150,83,5
149,122,109,2
147,104,73,6
111,150,89,5
33,32,23,7
33,32,23,7
157,163,117,3
107,156,117,0
74,136,79,5
70,73,54,8
92,154,111,0
137,175,126,0
39,39,29,7
107,162,117,0
193,201,143,3
137,175,126,0
33,32,24,7
114,126,91,8
169,150,124,2
158,125,97,6
91,153,111,0
40,39,29,7
116,159,100,5
140,114,101,2
155,160,115,3
162,160,115,3
140,114,95,2
136,168,126,0
112,152,89,5
161,153,115,3
146,104,72,6
112,151,89,5
171,137,99,6
71,73,54,8
159,125,97,6
32,31,24,7
137,175,120,0
32,31,23,7
73,72,53,7
161,160,115,3
96,104,108,4
161,154,114,3
161,160,114,3
84,81,64,8
169,144,123,2
91,154,105,0
194,195,144,3
71,73,54,8
159,126,98,6
92,101,109,4
164,163,118,3
108,162,117,0
161,159,115,3
113,152,84,5
86,94,104,4
87,95,104,4
96,103,108,4
149,127,108,2
164,163,118,3
74,137,80,5
169,150,122,2
70,74,54,8
110,150,89,5
92,148,111,0
73,72,53,7
174,134,90,6
140,114,101,2
111,159,100,5
95,103,108,4
108,162,111,0
134,114,101,2
74,130,80,5
139,108,101,2
162,160,115,3
162,160,115,3
121,126,91,8
40,39,29,7
91,147,111,0
112,150,89,5
92,101,103,4
84,86,64,8
162,160,115,3
145,125,80,1
40,39,23,7
40,39,29,7
84,87,64,8
157,137,85,1
145,131,82,1
74,72,53,7
146,131,88,1
85,87,65,8
71,73,54,8
154,129,71,1
91,101,109,4
147,104,72,6
86,94,103,4
72,71,52,7
112,144,89,5
93,148,112,0
97,105,103,4
116,159,99,5
84,88,65,8
193,202,143,3
74,130,79,5
71,73,54,8
97,106,109,4
92,101,109,4
136,175,126,0
70,73,54,8
116,159,99,5
40,34,29,7
149,128,109,2
147,130,77,1
168,150,128,2
72,71,52,7
85,93,102,4
74,136,73,5
161,160,115,3
168,135,128,2
71,73,48,8
92,100,109,4
149,127,109,2
194,202,143,3
163,163,117,3
115,126,91,8
74,136,73,5
169,135,97,6
158,125,97,6
121,119,92,8
164,164,118,3
149,128,109,2
82,86,63,8
158,138,85,1
86,93,96,4
168,150,128,2
167,134,96,6
33,32,24,7
164,164,118,3
116,153,100,5
145,131,88,1
74,137,80,5
92,100,108,4
33,32,24,7
149,127,108,2
155,160,115,3
91,100,108,4
153,129,77,1
40,39,29,7
146,125,88,1
168,150,122,2
148,127,108,2
116,159,100,5
111,150,89,5
92,154,112,0
85,84,102,4
149,127,109,2
121,126,92,8
73,72,53,7
156,123,96,7
74,136,80,5
159,126,97,6
33,24,24,7
140,108,101,2
164,158,118,3
149,128,108,2
158,138,78,1
149,127,108,2
136,175,120,0
131,174,126,0
112,151,89,5
85,92,96,4
193,193,137,3
71,73,54,8
108,162,117,0
34,32,24,7
72,71,53,7
121,126,92,8
40,39,29,7
159,125,91,6
86,154,112,0
84,87,64,8
92,100,109,4
73,71,53,7
193,201,138,3
163,151,128,2
83,87,58,8
168,150,128,2
112,151,89,5
143,128,108,2
116,160,94,5
168,150,128,2
70,73,53,8
74,136,80,5
145,124,88,1
162,159,109,3
147,105,73,6
139,113,101,2
154,129,77,1
153,115,77,1
116,153,100,5
33,32,23,7
116,152,99,5
70,73,54,8
154,123,77,1
117,159,100,5
91,100,109,4
193,201,138,3
158,137,85,1
157,163,117,3
146,132,88,1
147,129,77,1
116,159,93,5
145,131,88,1
86,94,97,4
91,100,108,4
169,150,128,2
108,163,111,0
136,174,126,0
92,154,112,0
78,88,64,8
92,101,103,4
72,71,52,7
149,129,109,2
169,150,128,2
174,133,96,6
145,131,89,1
32,31,23,7
91,100,108,4
158,131,85,1
121,126,92,8
145,116,87,1
147,104,73,6
158,138,79,1
144,130,88,1
95,103,102,4
115,126,91,8
168,135,97,6
140,131,89,1
33,32,24,7
116,159,91,5
168,144,128,2
95,103,108,4
74,72,53,7
161,159,115,3
40,39,29,7
80,94,103,4
152,128,76,1
107,162,117,0
168,150,128,2
168,133,96,6
84,86,63,8
72,71,53,7
73,72,53,7
140,104,73,6
73,71,53,7
149,128,108,2
72,65,53,7
156,159,115,3
153,129,77,1
140,114,101,2
171,137,99,6
158,137,85,1
158,125,97,6
147,104,73,6
143,129,108,2
40,39,29,7
162,154,115,3
140,132,89,1
85,93,102,4
33,32,24,7
97,99,110,4
41,39,29,7
113,152,90,5
167,133,96,6
159,126,98,6
91,100,109,4
161,160,115,3
63,73,53,8
73,72,53,7
164,163,118,3
72,71,53,7
176,136,98,6
157,137,85,1
154,130,77,1
121,126,85,8
163,163,117,3
163,163,118,3
146,131,89,1
70,73,53,8
154,123,69,1
74,135,80,5
86,93,103,4
149,128,102,2
107,153,117,0
116,158,99,5
154,129,77,1
152,138,85,1
33,32,20,7
95,103,102,4
158,125,97,6
168,150,128,2
147,104,73,6
162,150,123,2
153,129,76,1
95,103,102,4
137,175,126,0
154,121,77,1
112,151,89,5
121,125,91,8
193,201,143,3
86,153,111,0
121,125,91,8
107,162,117,0
73,71,53,7
163,157,117,3
176,136,92,6
91,100,108,4
194,195,144,3
107,156,117,0
158,125,97,6
92,153,111,0
121,126,85,8
194,202,144,3
153,129,77,1
154,129,77,1
83,86,64,8
110,149,87,5
162,157,116,3
152,128,76,1
97,106,109,4
136,175,120,0
168,144,128,2
71,74,54,8
148,129,76,1
91,153,112,0
140,115,96,2
147,104,73,6
80,85,103,4
158,125,97,6
158,138,85,1
143,128,109,2
110,159,100,5
147,129,77,1
121,125,91,8
97,105,109,4
178,137,99,6
117,160,100,5
86,94,104,4
98,106,110,4
83,86,63,8
121,125,92,8
85,93,102,4
153,129,77,1
92,148,112,0
154,130,77,1
102,162,117,0
136,169,126,0
40,38,28,7
154,123,77,1
145,131,88,1
117,159,92,5
145,131,89,1
92,101,109,4
164,163,117,3
110,149,87,5
107,161,117,0
116,159,100,5
40,30,29,7
74,136,79,5
136,174,126,0
92,153,111,0
145,124,88,1
151,137,85,1
145,131,88,1
157,163,118,3
107,162,118,0
153,129,77,1
164,158,117,3
153,129,76,1
90,99,108,4
96,103,102,4
158,125,97,6
194,202,138,3
147,105,73,6
143,128,109,2
136,168,126,0
113,152,90,5
92,154,111,0
152,127,76,1
73,72,53,7
153,128,76,1
111,149,87,5
155,160,115,3
146,131,88,1
136,168,126,0
74,136,80,5
140,114,101,2
158,125,97,6
33,32,24,7
194,202,144,3
70,73,53,8
91,94,108,4
140,114,101,2
140,114,101,2
73,72,54,7
110,149,73,5
193,195,143,3
141,115,102,2
34,32,24,7
71,73,48,8
85,92,102,4
161,160,109,3
84,80,64,8
158,137,85,1
149,128,102,2
145,131,88,1
158,132,85,1
33,32,24,7
121,125,91,8
70,72,54,8
133,114,101,2
73,72,53,7
141,115,95,2
152,138,85,1
145,125,88,1
33,32,24,7
33,32,24,7
108,163,117,0
153,130,77,1
193,192,144,3
108,162,118,0
75,137,80,5
84,92,101,4
121,125,92,8
71,73,54,8
72,71,52,7
137,175,120,0
70,66,54,8
153,121,77,1
116,159,100,5
187,201,143,3
91,153,105,0
161,160,115,3
154,130,77,1
72,70,52,7
121,126,85,8
136,174,126,0
163,164,118,3
158,137,85,1
73,65,53,7
158,137,85,1
83,86,63,8
142,127,109,2
84,87,58,8
143,128,108,2
168,150,128,2
85,153,111,0
147,104,73,6
147,104,73,6
91,100,109,4
176,135,97,6
95,103,102,4
164,164,118,3
71,73,54,8
85,92,102,4
149,127,108,2
136,174,125,0
98,106,110,4
158,119,97,6
107,162,117,0
91,100,108,4
158,132,85,1
98,106,110,4
114,126,92,8
84,87,58,8
140,114,101,2
168,150,128,2
146,104,72,6
162,160,115,3
73,65,53,7
91,153,111,0
41,39,29,7
90,104,109,4
158,138,85,1
146,104,73,6
83,87,63,8
91,101,109,4
34,32,24,7
164,158,118,3
168,142,129,2
92,153,105,0
92,101,109,4
157,137,85,1
147,105,73,6
140,114,101,2
75,137,72,5
116,157,100,5
116,159,100,5
135,115,102,2
86,93,97,4
92,97,109,4
141,115,102,2
174,134,97,6
84,87,56,8
39,39,29,7
163,163,118,3
120,126,91,8
158,137,85,1
158,126,98,6
169,135,97,6
158,138,85,1
70,73,53,8
188,201,139,3
164,164,111,3
174,128,97,6
33,32,24,7
85,92,102,4
193,202,139,3
154,124,77,1
96,103,108,4
41,39,30,7
158,138,85,1
157,125,97,6
169,150,128,2
174,128,97,6
155,160,115,3
83,86,63,8
91,154,103,0
113,146,89,5
158,125,98,6
74,136,80,5
95,103,108,4
137,169,126,0
71,69,54,8
90,105,109,4
112,146,89,5
176,136,98,6
146,104,66,6
92,94,109,4
169,135,98,6
108,153,117,0
159,120,98,6
194,202,144,3
177,137,98,6
97,105,109,4
34,32,24,7
145,131,89,1
176,135,98,6
91,153,111,0
33,32,16,7
85,85,102,4
92,101,103,4
153,122,76,1
85,93,97,4
143,128,108,2
75,136,80,5
72,74,54,8
116,159,100,5
73,71,47,7
33,32,24,7
71,74,54,8
168,150,128,2
39,38,28,7
158,131,85,1
161,160,114,3
178,137,99,6
107,156,117,0
91,154,111,0
161,160,114,3
90,105,109,4
175,135,92,6
139,114,101,2
194,202,139,3
168,150,128,2
164,164,118,3
110,159,100,5
157,124,96,6
168,150,128,2
34,32,24,7
140,107,101,2
92,101,109,4
70,74,54,8
136,174,120,0
163,164,118,3
74,137,74,5
193,201,144,3
70,73,53,8
113,153,90,5
72,71,52,7
110,160,100,5
108,162,111,0
193,195,138,3
168,150,128,2
176,135,98,6
144,131,88,1
74,137,72,5
193,202,144,3
145,131,88,1
73,136,79,5
73,71,53,7
113,145,89,5
96,98,109,4
136,175,126,0
108,162,117,0
73,71,53,7
115,126,92,8
145,131,82,1
121,126,92,8
72,71,49,7
145,103,72,6
96,104,109,4
87,94,104,4
74,136,80,5
95,103,108,4
136,175,119,0
92,100,109,4
158,131,85,1
84,87,64,8
193,201,143,3
141,115,102,2
163,157,117,3
95,104,108,4
145,131,89,1
137,168,126,0
115,159,99,5
121,126,91,8
115,158,99,5
87,95,104,4
146,104,73,6
153,129,77,1
161,160,115,3
145,125,88,1
85,93,103,4
162,150,120,2
83,86,63,8
139,108,100,2
161,159,114,3
137,175,126,0
139,114,101,2
121,126,91,8
121,125,85,8
163,157,117,3
86,93,103,6
116,159,99,5
84,86,63,8
162,161,109,3
115,126,91,8
32,31,23,7
163,163,118,3
73,71,53,7
